epoch,training_loss,training_acc,test_loss,test_acc
0,6113.3633,0.115,255560.7,0.2552
0,5340.773,0.225,271339.78,0.2129
0,5288.151,0.23,231771.31,0.3269
0,4411.3945,0.355,241647.38,0.2951
0,4687.261,0.31,178413.31,0.4797
0,3549.4075,0.48,166027.36,0.5109
0,3475.476,0.485,147744.89,0.5618
0,2621.6133,0.615,137331.86,0.5915
0,2590.4106,0.625,138955.12,0.584
0,2509.6584,0.61,128161.32,0.6187
0,2590.4082,0.625,125247.87,0.6258
0,2197.5564,0.665,117042.83,0.6485
0,2244.1523,0.66,116063.53,0.6517
0,1831.8435,0.725,110860.59,0.666
0,2207.2952,0.66,106506.555,0.6789
0,1682.8568,0.74,100149.39,0.6971
0,2096.53,0.685,106301.71,0.6749
0,2171.414,0.675,109646.95,0.6678
0,1961.1909,0.7,117814.69,0.6431
0,2410.1484,0.635,107875.266,0.6759
0,2178.9878,0.675,104260.3,0.6857
0,2334.652,0.645,112643.7,0.6605
0,2321.063,0.645,95483.016,0.71
0,1609.8081,0.76,102045.95,0.6897
0,1819.6136,0.725,99162.49,0.6995
0,2214.4487,0.67,106543.516,0.6743
0,2205.3164,0.655,100486.9,0.6972
0,2052.3403,0.695,96418.2,0.7044
0,1615.5829,0.75,97854.914,0.6978
0,1726.7913,0.735,99799.34,0.6939
0,1970.0847,0.705,95628.86,0.7054
0,1893.3273,0.695,91287.79,0.718
0,1905.3162,0.715,89121.8,0.7249
0,1609.7295,0.75,91226.19,0.7177
0,1547.4397,0.765,94700.49,0.7076
0,1621.6636,0.745,104354.375,0.678
0,2373.3457,0.645,93973.48,0.71
0,1914.1621,0.71,97467.195,0.6976
0,1849.1161,0.725,88691.555,0.7251
0,1782.4174,0.73,101833.11,0.6886
0,1950.7782,0.705,93196.82,0.7151
0,1485.7722,0.785,90323.91,0.7186
0,1624.21,0.75,94098.37,0.7093
0,1721.3372,0.74,86561.91,0.731
0,1947.895,0.705,90592.67,0.7188
0,1832.4731,0.72,92067.695,0.7129
0,1753.6099,0.725,86245.59,0.7299
0,1766.6965,0.725,92437.42,0.713
0,2004.5311,0.705,104988.73,0.6771
