epoch,training_loss,training_acc,test_loss,test_acc
0,460.51703,0.12,23025.852,0.1
0,460.51743,0.09,23025.854,0.1
0,460.51862,0.105,23025.852,0.1
0,460.51794,0.07,23025.852,0.1
0,460.51495,0.13,23025.854,0.1
0,460.5191,0.095,23025.852,0.1
0,460.52222,0.085,23025.85,0.1
0,460.51544,0.125,23025.852,0.1
0,460.51746,0.085,23025.852,0.1
0,460.5154,0.11,23025.852,0.1
0,460.51874,0.12,23025.854,0.1
0,460.51294,0.135,23025.852,0.1
0,460.52127,0.075,23025.85,0.1
0,460.51572,0.125,23025.854,0.1
0,460.52087,0.07,23025.852,0.1
0,460.51343,0.12,23025.85,0.1
0,460.51245,0.125,23025.854,0.1
0,460.5158,0.11,23025.852,0.1
0,460.5197,0.095,23025.85,0.1
0,460.5102,0.145,23025.852,0.1
0,460.50525,0.135,23025.85,0.1
0,460.5156,0.12,23025.852,0.1
0,460.52423,0.065,23025.854,0.1
0,460.50912,0.145,23025.852,0.1
0,460.5123,0.115,23025.854,0.1
0,460.5164,0.095,23025.854,0.1
0,460.53033,0.065,23025.854,0.1
0,460.52283,0.09,23025.854,0.1
0,460.52185,0.085,23025.854,0.1
0,460.5152,0.1,23025.85,0.1
0,460.49966,0.155,23025.855,0.1
0,460.51617,0.105,23025.855,0.1
0,460.5251,0.08,23025.854,0.1
0,460.52386,0.095,23025.852,0.1
0,460.50323,0.12,23025.854,0.1
0,460.5066,0.13,23025.854,0.1
0,460.53693,0.055,23025.854,0.1
0,460.50302,0.13,23025.852,0.1
0,460.52737,0.08,23025.855,0.1
0,460.50317,0.135,23025.852,0.1
0,460.52905,0.06,23025.854,0.1
0,460.5213,0.05,23025.854,0.1
0,460.51422,0.11,23025.854,0.1
0,460.52496,0.08,23025.855,0.1
0,460.52673,0.085,23025.854,0.1
0,460.51727,0.105,23025.854,0.1
0,460.52515,0.095,23025.852,0.1
0,460.52148,0.07,23025.852,0.1
0,460.51428,0.08,23025.855,0.1
0,460.5194,0.065,23025.854,0.1
0,460.50146,0.105,23025.855,0.1
0,460.52307,0.1,23025.854,0.1
0,460.515,0.12,23025.852,0.1
0,460.5114,0.07,23025.854,0.1
0,460.52594,0.1,23025.854,0.1
0,460.51263,0.06,23025.854,0.1
0,460.5089,0.11,23025.854,0.1
0,460.5227,0.11,23025.854,0.1
0,460.52267,0.115,23025.852,0.1
0,460.5083,0.15,23025.854,0.1
0,460.51605,0.145,23025.855,0.1
0,460.53052,0.08,23025.855,0.1
0,460.52527,0.105,23025.854,0.1
0,460.51416,0.11,23025.854,0.1
0,460.51727,0.1,23025.852,0.1
0,460.50592,0.115,23025.855,0.1
0,460.53012,0.07,23025.855,0.1
0,460.51624,0.09,23025.854,0.1
0,460.50488,0.11,23025.854,0.1
0,460.52026,0.09,23025.855,0.1
0,460.49942,0.125,23025.854,0.1
0,460.53705,0.085,23025.854,0.1
0,460.51175,0.115,23025.852,0.1
0,460.54675,0.07,23025.854,0.1
0,460.5285,0.1,23025.855,0.1
0,460.53424,0.095,23025.855,0.1
0,460.5089,0.11,23025.852,0.1
0,460.515,0.08,23025.854,0.1
0,460.51486,0.105,23025.855,0.1
0,460.5167,0.1,23025.855,0.1
0,460.51434,0.095,23025.854,0.1
0,460.50864,0.105,23025.855,0.1
0,460.51434,0.07,23025.852,0.1
0,460.5096,0.09,23025.855,0.1
0,460.53262,0.115,23025.852,0.1
0,460.52255,0.125,23025.852,0.1
0,460.5325,0.09,23025.855,0.1
0,460.53253,0.065,23025.854,0.1
0,460.52008,0.1,23025.852,0.1
0,460.51147,0.11,23025.852,0.1
0,460.51245,0.14,23025.852,0.1
0,460.5296,0.075,23025.852,0.1
0,460.5191,0.095,23025.855,0.1
0,460.51318,0.08,23025.854,0.1
0,460.50385,0.135,23025.854,0.1
0,460.52362,0.13,23025.855,0.1
0,460.50836,0.115,23025.857,0.1
0,460.51572,0.1,23025.852,0.1
0,460.517,0.105,23025.857,0.1
0,460.50183,0.14,23025.855,0.1
0,460.52917,0.08,23025.854,0.1
0,460.50894,0.115,23025.855,0.1
0,460.51434,0.12,23025.855,0.1
0,460.5271,0.09,23025.852,0.1
0,460.49908,0.115,23025.854,0.1
0,460.50653,0.125,23025.855,0.1
0,460.52325,0.115,23025.857,0.1
0,460.52182,0.09,23025.855,0.1
0,460.52933,0.095,23025.855,0.1
0,460.53363,0.09,23025.857,0.1
0,460.5239,0.075,23025.854,0.1
0,460.51154,0.09,23025.855,0.1
0,460.52554,0.105,23025.852,0.1
0,460.51907,0.09,23025.855,0.1
0,460.49014,0.135,23025.857,0.1
0,460.51172,0.115,23025.857,0.1
0,460.5307,0.095,23025.855,0.1
0,460.5288,0.095,23025.855,0.1
0,460.50797,0.1,23025.855,0.1
0,460.50708,0.085,23025.855,0.1
0,460.52008,0.105,23025.855,0.1
0,460.49463,0.105,23025.855,0.1
0,460.50934,0.115,23025.857,0.1
0,460.5341,0.095,23025.855,0.1
0,460.55945,0.055,23025.855,0.1
0,460.56268,0.06,23025.855,0.1
0,460.53864,0.055,23025.855,0.1
0,460.52393,0.135,23025.854,0.1
0,460.51984,0.09,23025.852,0.1
0,460.5227,0.09,23025.855,0.1
0,460.5044,0.14,23025.854,0.1
0,460.521,0.125,23025.852,0.1
0,460.52014,0.085,23025.855,0.1
0,460.52344,0.065,23025.85,0.1
0,460.5197,0.095,23025.854,0.1
0,460.53436,0.065,23025.852,0.1
0,460.50745,0.135,23025.852,0.1
0,460.5094,0.13,23025.855,0.1
0,460.5228,0.105,23025.852,0.1
0,460.51172,0.105,23025.854,0.1
0,460.50208,0.135,23025.855,0.1
0,460.50122,0.13,23025.854,0.1
0,460.5149,0.115,23025.857,0.1
0,460.49496,0.125,23025.857,0.1
0,460.5417,0.075,23025.852,0.1
0,460.52985,0.075,23025.854,0.1
0,460.52234,0.075,23025.852,0.1
0,460.49243,0.15,23025.855,0.1
0,460.50592,0.115,23025.855,0.1
0,460.52423,0.095,23025.855,0.1
0,460.52722,0.05,23025.854,0.1
0,460.5218,0.125,23025.855,0.1
0,460.50043,0.12,23025.855,0.1
0,460.5246,0.085,23025.854,0.1
0,460.48352,0.15,23025.855,0.1
0,460.505,0.095,23025.857,0.1
0,460.51227,0.1,23025.857,0.1
0,460.51755,0.095,23025.855,0.1
0,460.5294,0.1,23025.855,0.1
0,460.53186,0.06,23025.854,0.1
0,460.53333,0.09,23025.857,0.1
0,460.50766,0.11,23025.854,0.1
0,460.51596,0.085,23025.855,0.1
0,460.53625,0.075,23025.857,0.1
0,460.52368,0.13,23025.855,0.1
0,460.51627,0.105,23025.857,0.1
0,460.5249,0.075,23025.855,0.1
0,460.53137,0.1,23025.854,0.1
0,460.51938,0.09,23025.854,0.1
0,460.5031,0.095,23025.86,0.1
0,460.54553,0.09,23025.854,0.1
0,460.5197,0.115,23025.855,0.1
0,460.52094,0.095,23025.86,0.1
0,460.5324,0.08,23025.854,0.1
0,460.5349,0.085,23025.854,0.1
0,460.5217,0.11,23025.854,0.1
0,460.5351,0.06,23025.854,0.1
0,460.5135,0.125,23025.854,0.1
0,460.53888,0.075,23025.854,0.1
0,460.51807,0.1,23025.855,0.1
0,460.51517,0.11,23025.855,0.1
0,460.5182,0.115,23025.854,0.1
0,460.51788,0.125,23025.855,0.1
0,460.5174,0.105,23025.854,0.1
0,460.50488,0.14,23025.854,0.1
0,460.52786,0.09,23025.855,0.1
0,460.52264,0.105,23025.855,0.1
0,460.51456,0.08,23025.854,0.1
0,460.49332,0.105,23025.855,0.1
0,460.52338,0.1,23025.855,0.1
0,460.53027,0.1,23025.854,0.1
0,460.51785,0.08,23025.854,0.1
0,460.50204,0.125,23025.857,0.1
0,460.51154,0.105,23025.855,0.1
0,460.52795,0.085,23025.854,0.1
0,460.52332,0.075,23025.854,0.1
0,460.51898,0.11,23025.855,0.1
0,460.52014,0.08,23025.855,0.1
0,460.50928,0.12,23025.857,0.1
0,460.51318,0.1,23025.855,0.1
0,460.5358,0.075,23025.854,0.1
0,460.54114,0.08,23025.852,0.1
0,460.51944,0.08,23025.855,0.1
0,460.4992,0.105,23025.855,0.1
0,460.5136,0.08,23025.855,0.1
0,460.52542,0.095,23025.855,0.1
0,460.5014,0.15,23025.855,0.1
0,460.5369,0.05,23025.855,0.1
0,460.51172,0.105,23025.855,0.1
0,460.50803,0.1,23025.854,0.1
0,460.53888,0.09,23025.852,0.1
0,460.53198,0.085,23025.854,0.1
0,460.53033,0.05,23025.852,0.1
0,460.51593,0.085,23025.854,0.1
0,460.5279,0.13,23025.854,0.1
0,460.5357,0.11,23025.854,0.1
0,460.50427,0.135,23025.852,0.1
0,460.5171,0.12,23025.854,0.1
0,460.5304,0.065,23025.852,0.1
0,460.5272,0.09,23025.854,0.1
0,460.52335,0.095,23025.854,0.1
0,460.5058,0.115,23025.854,0.1
0,460.5205,0.105,23025.852,0.1
0,460.52765,0.1,23025.854,0.1
0,460.52765,0.105,23025.854,0.1
0,460.52573,0.095,23025.854,0.1
0,460.5075,0.125,23025.854,0.1
0,460.5207,0.105,23025.854,0.1
0,460.51398,0.1,23025.852,0.1
0,460.5146,0.115,23025.852,0.1
0,460.50702,0.105,23025.854,0.1
0,460.52252,0.1,23025.854,0.1
0,460.52753,0.075,23025.854,0.1
0,460.52927,0.08,23025.855,0.1
0,460.51324,0.095,23025.854,0.1
0,460.52484,0.095,23025.854,0.1
0,460.5351,0.1,23025.854,0.1
0,460.51675,0.09,23025.854,0.1
0,460.52756,0.085,23025.852,0.1
0,460.51926,0.095,23025.852,0.1
0,460.51822,0.075,23025.852,0.1
0,460.51202,0.09,23025.852,0.1
0,460.50494,0.09,23025.852,0.1
0,460.5315,0.085,23025.854,0.1
0,460.5242,0.075,23025.852,0.1
0,460.5191,0.095,23025.854,0.1
0,460.5121,0.125,23025.855,0.1
0,460.51587,0.1,23025.854,0.1
0,460.51047,0.115,23025.854,0.1
0,460.51666,0.1,23025.852,0.1
0,460.52628,0.085,23025.852,0.1
0,460.51974,0.11,23025.854,0.1
0,460.52756,0.095,23025.854,0.1
0,460.4967,0.1,23025.854,0.1
0,460.49738,0.14,23025.854,0.1
0,460.52246,0.095,23025.854,0.1
0,460.52005,0.125,23025.854,0.1
0,460.5462,0.06,23025.855,0.1
0,460.53326,0.08,23025.852,0.1
0,460.5342,0.1,23025.852,0.1
0,460.52826,0.095,23025.852,0.1
0,460.5182,0.08,23025.854,0.1
0,460.50357,0.15,23025.854,0.1
0,460.52808,0.07,23025.852,0.1
0,460.51996,0.085,23025.854,0.1
0,460.52103,0.135,23025.85,0.1
0,460.50232,0.14,23025.855,0.1
0,460.5229,0.095,23025.854,0.1
0,460.52002,0.08,23025.852,0.1
0,460.52545,0.08,23025.85,0.1
0,460.5197,0.115,23025.854,0.1
0,460.52783,0.09,23025.852,0.1
0,460.5099,0.11,23025.852,0.1
0,460.52368,0.095,23025.854,0.1
0,460.51544,0.115,23025.854,0.1
0,460.51935,0.12,23025.852,0.1
0,460.53156,0.085,23025.852,0.1
0,460.52606,0.055,23025.852,0.1
0,460.52783,0.09,23025.852,0.1
0,460.51956,0.085,23025.852,0.1
0,460.5216,0.08,23025.85,0.1
0,460.51593,0.095,23025.85,0.1
0,460.51718,0.095,23025.854,0.1
0,460.52176,0.08,23025.854,0.1
0,460.5169,0.08,23025.852,0.1
0,460.51666,0.12,23025.854,0.1
0,460.52808,0.095,23025.85,0.1
0,460.5226,0.085,23025.85,0.1
0,460.51505,0.13,23025.852,0.1
0,460.52423,0.065,23025.852,0.1
0,460.52438,0.1,23025.852,0.1
0,460.51724,0.08,23025.852,0.1
0,460.5216,0.105,23025.852,0.1
0,460.5254,0.075,23025.852,0.1
0,460.52026,0.085,23025.85,0.1
0,460.5232,0.07,23025.852,0.1
0,460.51764,0.09,23025.85,0.1
0,460.51788,0.08,23025.852,0.1
0,460.5206,0.09,23025.85,0.1
0,460.51953,0.095,23025.848,0.1
1,460.51746,0.12,23025.852,0.1
1,460.5183,0.095,23025.85,0.1
1,460.51868,0.095,23025.848,0.1
1,460.51727,0.1,23025.852,0.1
1,460.51566,0.125,23025.854,0.1
1,460.52002,0.095,23025.854,0.1
1,460.52145,0.085,23025.852,0.1
1,460.5162,0.125,23025.852,0.1
1,460.51822,0.085,23025.854,0.1
1,460.51526,0.11,23025.85,0.1
1,460.51788,0.12,23025.852,0.1
1,460.5136,0.135,23025.854,0.1
1,460.51984,0.075,23025.852,0.1
1,460.5169,0.125,23025.85,0.1
1,460.52374,0.07,23025.852,0.1
1,460.51263,0.12,23025.854,0.1
1,460.5144,0.125,23025.852,0.1
1,460.5171,0.11,23025.85,0.1
1,460.51892,0.095,23025.852,0.1
1,460.51074,0.145,23025.852,0.1
1,460.50778,0.135,23025.854,0.1
1,460.51532,0.12,23025.855,0.1
1,460.523,0.065,23025.852,0.1
1,460.50955,0.145,23025.854,0.1
1,460.51233,0.115,23025.855,0.1
1,460.51685,0.095,23025.854,0.1
1,460.5286,0.065,23025.852,0.1
1,460.5224,0.09,23025.852,0.1
1,460.5236,0.085,23025.854,0.1
